code,name
A,Gelisols
B,Histosols
C,Spodosols
D,Andisols
E,Oxisols
F,Vertisols
G,Aridisols
H,Ultisols
I,Mollisols
J,Alfisols
K,Inceptisols
L,Entisols
JA,Aqualfs
JB,Cryalfs
JC,Ustalfs
JD,Xeralfs
JE,Udalfs
JAA,Cryaqualfs
JAB,Plinthaqualfs
JAC,Duraqualfs
JAD,Natraqualfs
JAE,Fragiaqualfs
JAF,Kandiaqualfs
JAG,Vermaqualfs
JAH,Albaqualfs
JAI,Glossaqualfs
JAJ,Epiaqualfs
JAK,Endoaqualfs
JAHA,Arenic Albaqualfs
JAHB,Aeric Vertic Albaqualfs
JAHC,Chromic Vertic Albaqualfs
JAHD,Vertic Albaqualfs
JAHE,Udollic Albaqualfs
JAHF,Aeric Albaqualfs
JAHG,Aquandic Albaqualfs
JAHH,Mollic Albaqualfs
JAHI,Umbric Albaqualfs
JAHJ,Typic Albaqualfs
JAAA,Typic Cryaqualfs
JACA,Typic Duraqualfs
JAKA,Aquandic Endoaqualfs
JAKB,Chromic Vertic Endoaqualfs
JAKC,Vertic Endoaqualfs
JAKD,Aeric Fragic Endoaqualfs
JAKE,Fragic Endoaqualfs
JAKF,Arenic Endoaqualfs
JAKG,Grossarenic Endoaqualfs
JAKH,Udollic Endoaqualfs
JAKI,Aeric Umbric Endoaqualfs
JAKJ,Aeric Endoaqualfs
JAKK,Mollic Endoaqualfs
JAKL,Umbric Endoaqualfs
JAKM,Typic Endoaqualfs
JAJA,Aeric Chromic Vertic Epiaqualfs
JAJB,Aeric Vertic Epiaqualfs
JAJC,Chromic Vertic Epiaqualfs
JAJD,Vertic Epiaqualfs
JAJE,Aquandic Epiaqualfs
JAJF,Aeric Fragic Epiaqualfs
JAJG,Fragic Epiaqualfs
JAJH,Arenic Epiaqualfs
JAJI,Grossarenic Epiaqualfs
JAJJ,Aeric Umbric Epiaqualfs
JAJK,Udollic Epiaqualfs
JAJL,Aeric Epiaqualfs
JAJM,Mollic Epiaqualfs
JAJN,Umbric Epiaqualfs
JAJO,Typic Epiaqualfs
JAEA,Vermic Fragiaqualfs
JAEB,Aeric Fragiaqualfs
JAEC,Plinthic Fragiaqualfs
JAED,Humic Fragiaqualfs
JAEE,Typic Fragiaqualfs
JAIA,Histic Glossaqualfs
JAIB,Arenic Glossaqualfs
JAIC,Aeric Fragic Glossaqualfs
JAID,Fragic Glossaqualfs
JAIE,Aeric Glossaqualfs
JAIF,Mollic Glossaqualfs
JAIG,Typic Glossaqualfs
JAFA,Arenic Kandiaqualfs
JAFB,Grossarenic Kandiaqualfs
JAFC,Plinthic Kandiaqualfs
JAFD,Aeric Umbric Kandiaqualfs
JAFE,Aeric Kandiaqualfs
JAFF,Umbric Kandiaqualfs
JAFG,Typic Kandiaqualfs
JADA,Vertic Natraqualfs
JADB,Vermic Natraqualfs
JADC,Albic Glossic Natraqualfs
JADD,Albic Natraqualfs
JADE,Glossic Natraqualfs
JADF,Mollic Natraqualfs
JADG,Typic Natraqualfs
JABA,Typic Plinthaqualfs
JAGA,Natric Vermaqualfs
JAGB,Typic Vermaqualfs
JBA,Palecryalfs
JBB,Glossocryalfs
JBC,Haplocryalfs
JBBA,Lithic Glossocryalfs
JBBB,Vertic Glossocryalfs
JBBC,Andic Glossocryalfs
JBBD,Vitrandic Glossocryalfs
JBBE,Aquic Glossocryalfs
JBBF,Oxyaquic Glossocryalfs
JBBG,Fragic Glossocryalfs
JBBH,Xerollic Glossocryalfs
JBBI,Umbric Xeric Glossocryalfs
JBBJ,Ustollic Glossocryalfs
JBBK,Xeric Glossocryalfs
JBBL,Ustic Glossocryalfs
JBBM,Mollic Glossocryalfs
JBBN,Umbric Glossocryalfs
JBBO,Eutric Glossocryalfs
JBBP,Typic Glossocryalfs
JBCA,Lithic Haplocryalfs
JBCB,Vertic Haplocryalfs
JBCC,Andic Haplocryalfs
JBCD,Vitrandic Haplocryalfs
JBCE,Aquic Haplocryalfs
JBCF,Oxyaquic Haplocryalfs
JBCG,Lamellic Haplocryalfs
JBCH,Psammentic Haplocryalfs
